S.No.,PLACES,DISTRICT,SOIL TYPE,,,,,,,,,,,
,,,Black Soils,Red Soil,Sandy Clay Loam,Lateritic soil,Calcareous Soil,Sandy Loam,Loamy sand,Brown soil,Clay loam,Alluvial soil,Brown Soil Non Calcareous,Red Calcareous
1,Athur,Salem,1,0,0,0,0,0,0,0,0,0,0,1
2,Bhavanisagari,Erode,0,1,0,0,0,0,0,0,0,0,0,0
3,Chinnasalem,Vilupurram,1,0,0,0,0,0,0,0,0,0,0,0
4,Chitlapakkam,Kanchipuram,0,0,0,0,0,0,0,1,0,0,0,0
5,Hosur,Hosur,0,0,1,0,0,1,0,0,0,0,0,0
6,Anthiyur,Erode,0,0,0,1,0,0,0,0,0,0,0,0
7,Arakkonam,Vellore,0,1,0,0,0,1,0,0,1,0,0,0
8,Arcot,Vellore,0,1,0,0,0,1,0,0,1,0,0,0
9,Arni,Tiruvannamalai,1,0,0,0,0,0,0,0,0,0,0,0
10,Bhavan,Erode,0,1,0,0,0,0,0,0,0,0,0,0
11,Chengam,Tiruvannamalai,1,1,0,0,0,0,0,0,0,0,0,0
12,Chennimalai,Erode,0,0,0,0,1,0,0,0,0,0,0,0
13,Cheyyar,Tiruvannamalai,1,0,0,0,0,0,0,0,0,0,0,0
14,Chithamur,Kanchipuram,0,1,0,0,0,0,0,0,0,0,0,0
15,Gobichttipalayam,Erode,0,1,0,0,0,0,0,0,0,0,0,0
16,Gudiyattam,Vellore,0,1,0,0,0,1,0,0,1,0,0,0
17,Harur,Dharmapuri,0,0,0,0,0,1,0,0,1,0,0,0
18,Kallakurichi,Vilupurram,1,0,0,0,0,0,0,0,0,0,0,0
19,Kanai,Vilupurram,0,1,0,0,0,0,0,0,0,0,0,0
20,Karimangalam,Dharmapuri,0,0,0,0,0,0,1,0,0,0,0,0
21,Kelamangalam,Krishnagiri,0,0,1,0,0,0,0,0,0,0,0,0
22,Kodumudi,Erode,0,1,0,0,0,0,0,0,0,0,0,0
23,Mathigiri Village,Krishnagiri,0,0,0,0,0,1,0,0,0,0,0,0
24,Mettur,Salem,1,0,0,0,0,0,0,1,0,0,0,1
25,Modakurichi,Erode,0,0,0,0,1,0,0,0,0,0,0,0
26,Morappur,Dharmapuri,0,0,0,0,0,1,1,0,1,0,0,0
27,Nallampalli,Dharmapuri,0,0,0,0,0,1,1,0,1,0,0,0
28,Nambiyur,Erode,0,0,0,1,0,0,0,0,0,0,0,0
29,Omalur,Salem,1,0,0,0,0,0,0,1,0,0,0,1
30,Padappai,Kanchipuram,0,0,0,0,0,0,0,1,0,1,0,0
31,Palacode,Dharmapuri,0,0,0,0,0,1,1,0,1,0,0,0
32,Pappireddipatti,Dharmapuri,0,0,0,0,0,1,1,0,0,0,0,0
33,Pavunjur,Kanchipuram,0,1,0,0,0,0,0,0,0,0,0,0
34,Pennagaram,Dharmapuri,0,0,0,0,0,1,1,0,0,0,0,0
35,Perundurai,Erode,0,0,0,1,0,0,0,0,0,0,0,0
36,Polur,Tiruvannamalai,1,1,0,0,0,0,0,0,0,0,0,0
37,Sankagiri,Salem,1,0,0,0,0,0,0,0,0,0,0,1
38,Sathyamangalam,Erode,0,1,0,0,0,0,0,0,0,0,0,0
39,Sirukaveripakkam,Kanchipuram,0,0,0,0,0,0,0,1,0,1,0,0
40,Sriperumbudur,Kanchipuram,0,0,0,0,0,0,0,1,0,1,0,0
41,T.N.Palayam,Erode,0,0,0,0,0,0,0,0,0,0,0,0
42,Thalavadi,Erode,0,1,0,1,0,0,0,0,0,0,0,0
43,Thiruporur,Kanchipuram,0,0,0,0,0,0,0,1,0,1,0,0
44,Thiruvennainallur,Vilupurram,0,1,0,0,0,0,0,0,0,0,0,0
45,Tirukazhukundram,Kanchipuram,0,0,0,0,0,0,0,1,0,1,0,0
46,Tirupattur,Vellore,0,1,0,0,0,1,0,0,1,0,0,0
47,Ulundurpet,Vilupurram,0,1,0,0,0,0,0,0,0,0,0,0
48,Uthangarai,Krishnagiri,0,0,0,0,0,0,1,0,0,0,0,0
49,Uthiramerur,Kanchipuram,0,0,0,0,0,0,0,1,0,1,0,0
50,Vandawasi,Tiruvannamalai,1,0,0,0,0,0,0,0,0,0,0,0
51,Vaniyambadi,Vellore,0,1,0,0,0,1,0,1,0,0,0,0
52,Vannapatti,Krishnagiri,0,0,0,0,0,0,1,0,0,0,0,0
53,Vanur,Vilupurram,0,1,0,0,0,0,0,0,0,0,0,0
54,Vellore,Vellore,0,1,0,0,0,1,0,0,1,0,0,0
55,Walajabad,Kanchipuram,0,0,0,0,0,0,0,1,0,1,0,0
56,Walajapet,Vellore,0,1,0,0,0,1,0,0,1,0,0,0
57,Yercaud,Salem,0,0,0,0,0,0,0,0,0,0,1,0